"","x","y"
"1",-71.0851537210617,42.3637589732784
"2",-71.0851839232923,42.3608570417094
"3",-71.0860117593213,42.3626836197899
"5",-71.0850943452138,42.3636429514639
"9",-71.0853014552467,42.3633523533314
"11",-71.0849664105397,42.3605225290984
"12",-71.0859049247786,42.360314476906
"14",-71.0850830577775,42.3624946187973
"18",-71.0842983521922,42.3601654895627
"19",-71.085273875798,42.3624325619375
"21",-71.084781770867,42.3624169682916
"22",-71.0845555014176,42.3616275125971
"23",-71.0843768138157,42.3601313518625
"24",-71.084794674757,42.3633193664281
"25",-71.085851208746,42.3634552139276
"27",-71.0850345602933,42.361150342707
"28",-71.0857961643389,42.3642316374808
"30",-71.0852537583617,42.3617078920376
"31",-71.0849594751761,42.3637362412084
"32",-71.0850255443888,42.3603516307015
"33",-71.0849024559736,42.3637155320334
"34",-71.0851185174131,42.3592261030404
"37",-71.0847758172422,42.3622550204954
"41",-71.0850707981197,42.3623713977384
"42",-71.0848763658988,42.3570448667713
"44",-71.0855974171728,42.3609706564683
"45",-71.0857730575743,42.3632281497897
"48",-71.0853881960423,42.3618847810635
"49",-71.0850788594831,42.3612123236135
"50",-71.0850601374997,42.3631161443119
"51",-71.0853582968167,42.3636434030059
"52",-71.0857935861334,42.3620330566276
"55",-71.0853011319588,42.3613025737766
"56",-71.0851662462985,42.3627758325217
"58",-71.0848225483685,42.3620529545122
"59",-71.0842177601411,42.3608112946474
"60",-71.0847410074007,42.3594525222014
"61",-71.0850374969695,42.3573014685161
"62",-71.0853642167979,42.3627158902504
"63",-71.0861824163674,42.3629323310635
"64",-71.0851918878667,42.3633657800465
"66",-71.0848819870978,42.3636028881207
"67",-71.084847814796,42.3626344994648
"69",-71.0848766567187,42.3606956027637
"70",-71.085181092446,42.362633127417
"71",-71.08537993687,42.3623838324878
"73",-71.0850123313641,42.3628479006727
"74",-71.0846733614941,42.3586273874546
"76",-71.0847121471304,42.3579465265955
"80",-71.0845197129209,42.3615617323554
"83",-71.0847917716363,42.3606308169314
"84",-71.0844983600727,42.3598251585838
"86",-71.0844333990054,42.3610139655113
"87",-71.08532064681,42.3580680295721
"88",-71.0856556648525,42.3637326655325
"89",-71.0854437899595,42.3613471702062
"90",-71.0849388685807,42.3623554538493
"91",-71.0849033431763,42.3621350175444
"93",-71.0846777191326,42.3584919701887
"94",-71.0847443111164,42.3593053232794
"96",-71.0848526370982,42.3628601451208
"97",-71.08468412666,42.3616193052855
"98",-71.0843778916093,42.361664391976
"101",-71.0855706503503,42.3608006381208
"102",-71.0857760761841,42.3634033745961
"105",-71.0863256563834,42.3627769959739
"108",-71.0849170808385,42.3639001997688
"109",-71.0852413221665,42.36202042831
"111",-71.085115946779,42.3640732582399
"112",-71.0853971862208,42.3638337200013
"114",-71.0843558236552,42.3613546713957
"115",-71.0841008089008,42.3603008794169
"118",-71.0855311197782,42.3619264061876
"119",-71.0847459715767,42.3593888781787
"121",-71.0857685090292,42.3643627292371
"122",-71.0846787668419,42.3629822659572
"123",-71.0852172562367,42.3616747144782
"127",-71.0846581280004,42.3620233405482
"128",-71.0853010107197,42.3607630915726
"129",-71.0857119979478,42.3606646265235
"130",-71.0856451076204,42.3630029103058
"132",-71.0847458319306,42.3623642987236
"133",-71.0854073161987,42.3610275042859
"134",-71.0854749042871,42.363506791626
"135",-71.0852698616424,42.3626489034585
"139",-71.0852655264702,42.3558931412624
"140",-71.085015854138,42.3616708230209
"141",-71.0851062126694,42.3611233339172
"142",-71.0858479690656,42.3615670100653
"143",-71.0848580825114,42.3596943666079
"144",-71.0851210924774,42.364367503432
"146",-71.0853456845029,42.3628070010909
"147",-71.0848618044659,42.3615938571876
"148",-71.0859114138641,42.3605937213037
"151",-71.0851504511761,42.3641225882129
"152",-71.0858312966893,42.3616583577445
"153",-71.0850064409267,42.3643058509002
"154",-71.0858161063174,42.3595595318379
"155",-71.0848362787743,42.3607167023668
"158",-71.0861136931191,42.3627814437485
"159",-71.0860321035541,42.3597569335318
"160",-71.0848012020722,42.3635302502724
"161",-71.0848279730104,42.3596796603327
"163",-71.0845526667685,42.3594280241266
"164",-71.0844132227426,42.3585337547488
"165",-71.0846489799448,42.3618692403851
"167",-71.0850416252122,42.3607539201483
"168",-71.0843103103734,42.3593418855573
"169",-71.0855603035785,42.3624368089919
"170",-71.0852504908853,42.3627158421244
"172",-71.0852668846618,42.3623973758475
"173",-71.0849262706713,42.3591681388221
"174",-71.0845259371271,42.3617209872332
"175",-71.0846688976066,42.3612193252564
"177",-71.0859925313985,42.3628448482478
"178",-71.0842666158142,42.3607885414332
"179",-71.0852867914984,42.3623825105463
"180",-71.0850429147061,42.3633729951064
"183",-71.0862032406291,42.36106467859
"184",-71.0853411061546,42.3633768130047
"185",-71.0854657905464,42.3590484471194
"187",-71.0846073168292,42.3607363355876
"188",-71.0862276322601,42.3621250478188
"189",-71.0849685664614,42.3623043829716
"190",-71.0842607504808,42.36123375313
"191",-71.0853164670469,42.3634474102699
"192",-71.0852177827982,42.3586675690206
"193",-71.085328831859,42.3607018403205
"194",-71.0853549341708,42.3616949382189
"197",-71.0848131707365,42.3623764579914
"198",-71.0852377129605,42.362667162688
"200",-71.0853391759732,42.3613365463122
"201",-71.0844156904422,42.3609199724295
"202",-71.084606987812,42.3599924715675
"203",-71.0860694382131,42.362694341925
"205",-71.0855165919336,42.3603232757188
"206",-71.0845676485091,42.3626347282252
"209",-71.0851010475322,42.3602674033134
"212",-71.085640785754,42.3604921088588
"215",-71.0850261515497,42.363704209788
"217",-71.0849064244254,42.3594209427256
"222",-71.0844157587125,42.3604154407361
"223",-71.0847415520616,42.3609971034607
"224",-71.0839991807754,42.3587178401782
"225",-71.0856324262625,42.360499073593
"226",-71.0852222861592,42.3628387558962
"227",-71.0859546430412,42.3628961306507
"228",-71.0848708142255,42.3630387463909
"229",-71.0852318037152,42.3639559303716
"230",-71.0844454772141,42.3610514773488
"233",-71.084797834677,42.3585478967954
"234",-71.0847752730548,42.3607403321597
"237",-71.0845454483691,42.3607355528972
"240",-71.0847181788777,42.3599649692835
"241",-71.0848677589067,42.361696305491
"243",-71.0849533656705,42.3620733210413
"244",-71.0849806088407,42.3598822389781
"247",-71.0855268724019,42.3620928668371
"248",-71.0852659040519,42.3610117030886
"249",-71.0856812693823,42.3639945992741
"251",-71.0843137703768,42.358655662747
"253",-71.0850268303455,42.3612918735188
"254",-71.0844825704899,42.3619855276871
"255",-71.0847767520061,42.3602082077442
"256",-71.0846145540592,42.3619917423884
"257",-71.084863269852,42.362537893358
"258",-71.0844320206698,42.3620598947188
"259",-71.085156866398,42.3631512325249
"261",-71.0852030771494,42.3634233328582
"263",-71.0862274822275,42.363446550452
"264",-71.0850551723617,42.3646245257951
"265",-71.0850178604183,42.3612447799031
"266",-71.0850245997682,42.3618330531898
"268",-71.085040727474,42.3640435294736
"271",-71.0847550999107,42.3593981471553
"272",-71.0855846602734,42.362133324548
"273",-71.08548990338,42.3621763216441
"274",-71.0850960141274,42.3630210679944
"277",-71.0850598703273,42.361636837071
"278",-71.0848067873792,42.3578867453514
"279",-71.0853765693705,42.3621381517103
"280",-71.0857668688359,42.3602617906699
"281",-71.0845663495017,42.3604829590459
