"","x","y","time"
"1",-71.10301637,42.35990774,142
"2",-71.10004323,42.3590218,92
"3",-71.10299909,42.3606818,136
"4",-71.10227496,42.35858813,115
"5",-71.09834472,42.35686003,690
"6",-71.10121241,42.36065337,134
"7",-71.10129968,42.35933238,46
"8",-71.09969531,42.36041266,125
"9",-71.1014738,42.35916897,61
"10",-71.10099957,42.36110904,187
"11",-71.10116921,42.35775784,191
"12",-71.10242633,42.35963287,109
"13",-71.10061385,42.3601615,102
"14",-71.10200665,42.36106089,176
"15",-71.1017779,42.35783101,216
"16",-71.09900175,42.35867603,170
"17",-71.10208805,42.35899718,87
"18",-71.10134802,42.35893913,79
"19",-71.10322614,42.36066102,145
"20",-71.1007807,42.35824642,150
"21",-71.10232749,42.35903439,72
"22",-71.09974579,42.36031148,118
"23",-71.10288679,42.35955155,128
"24",-71.10121134,42.35709583,359
"25",-71.10339494,42.36061767,151
"26",-71.09906237,42.35864918,166
"27",-71.10265974,42.36033566,103
"28",-71.09946878,42.36008668,123
"29",-71.10247775,42.36137407,201
"30",-71.1001137,42.35691852,362
"31",-71.09811523,42.35877627,247
"32",-71.10324768,42.35972026,151
"33",-71.1027487,42.35923607,105
"34",-71.09955946,42.35957958,140
"35",-71.1011759,42.36092309,152
"36",-71.0988205,42.35885698,187
"37",-71.10214468,42.36006858,65
"38",-71.10279263,42.35916568,103
"39",-71.09935143,42.35972485,141
"40",-71.09941746,42.36037548,137
"41",-71.10258907,42.36048098,107
"42",-71.10246712,42.35937197,99
"43",-71.10105318,42.36122533,195
"44",-71.10109126,42.35924081,39
"45",-71.10283867,42.35929803,117
"46",-71.10175912,42.35860407,79
"47",-71.10020282,42.35846971,112
"48",-71.10054175,42.35780463,296
"49",-71.10128138,42.36131775,206
"50",-71.10042411,42.35804058,294
"51",-71.09948145,42.35750451,419
"52",-71.10118884,42.35911922,49
"53",-71.10032706,42.36025314,120
"54",-71.10129651,42.35936533,13
"55",-71.10027512,42.35691242,354
"56",-71.10080624,42.36031023,98
"57",-71.09855411,42.35959888,209
"58",-71.10042821,42.35953801,157
"59",-71.09978571,42.35709029,386
"60",-71.10020925,42.35993469,80
"61",-71.09915696,42.35787846,452
"62",-71.09973624,42.35924344,123
"63",-71.10285988,42.36182212,266
"64",-71.10227483,42.35965865,51
"65",-71.10209406,42.35920217,72
"66",-71.09974042,42.35988555,101
"67",-71.10112953,42.35852517,155
"68",-71.09964068,42.35954394,137
"69",-71.10355316,42.36137648,233
"70",-71.10049738,42.35828441,135
"71",-71.10046286,42.36008568,73
"72",-71.10049813,42.36031794,114
"73",-71.10265513,42.35903569,91
"74",-71.10090131,42.35979156,39
"75",-71.09956814,42.35939771,134
"76",-71.10162755,42.36096838,165
"77",-71.09971307,42.35831397,159
"78",-71.10123554,42.35676227,388
"79",-71.10321687,42.36117776,188
"80",-71.10101875,42.35834459,157
"81",-71.10082823,42.36043707,102
"82",-71.10247186,42.35969182,109
"83",-71.10249911,42.35900269,82
"84",-71.10123559,42.36057641,129
"85",-71.10113967,42.35979852,4
"86",-71.10190292,42.35835555,200
"87",-71.09814705,42.35793244,419
"88",-71.10130938,42.35916652,53
"89",-71.10064253,42.35973344,50
"90",-71.10004047,42.35870158,105
"91",-71.10007151,42.35988058,84
"92",-71.10154623,42.3590558,70
"93",-71.10179516,42.36082301,148
"94",-71.10150598,42.36005671,52
"95",-71.10203961,42.35894999,87
"96",-71.10026925,42.35940283,142
"97",-71.1024096,42.36174417,255
"98",-71.10125311,42.36049264,113
"99",-71.10037136,42.36024714,118
"100",-71.10017836,42.35955121,159
"101",-71.10074454,42.36051683,110
"102",-71.10198818,42.36050984,122
"103",-71.10042519,42.3584627,123
"104",-71.10078751,42.3594507,31
"105",-71.1016254,42.36049369,131
"106",-71.10206908,42.35888427,92
"107",-71.1031348,42.36068459,142
"108",-71.09949113,42.3597972,133
"109",-71.10097954,42.35884731,133
"110",-71.10089494,42.35727569,331
"111",-71.10086005,42.35939272,31
"112",-71.10319615,42.36091465,172
"113",-71.10111492,42.3602069,77
"114",-71.10225868,42.36016588,74
"115",-71.10071888,42.35817087,151
"116",-71.09998051,42.35862182,112
"117",-71.10143182,42.36022231,62
"118",-71.10194051,42.3598816,46
"119",-71.09966811,42.36027371,120
"120",-71.10023883,42.36075312,153
"121",-71.10094194,42.35911367,41
"122",-71.10251412,42.35897112,110
"123",-71.10093859,42.35890578,129
"124",-71.10047207,42.35786352,296
"125",-71.10187059,42.35907405,64
"126",-71.10235616,42.3587378,113
"127",-71.10122403,42.35935958,41
"128",-71.10306754,42.36184704,277
"129",-71.09843277,42.35582433,774
"130",-71.1021142,42.36130764,196
"131",-71.10160203,42.35916891,67
"132",-71.1028506,42.35940547,119
"133",-71.10063052,42.36001823,62
"134",-71.10126497,42.35943211,8
"135",-71.10152021,42.35823334,187
"136",-71.10097485,42.35860381,144
"137",-71.10206938,42.36055858,122
"138",-71.10179961,42.3615582,209
"139",-71.0995684,42.36064752,174
"140",-71.10169697,42.35932229,38
"141",-71.1027007,42.35980408,136
"142",-71.09945067,42.35941159,140
"143",-71.10137026,42.36024035,66
"144",-71.09943048,42.35927546,136
"145",-71.10107599,42.36093093,156
"146",-71.10119017,42.36068388,137
"147",-71.09994142,42.36027548,108
"148",-71.10299653,42.36023769,122
"149",-71.10170765,42.36098853,164
"150",-71.10175023,42.36039632,132
"151",-71.10166797,42.36103657,168
"152",-71.09944905,42.35759808,425
"153",-71.10030769,42.35622352,701
"154",-71.10243173,42.35917419,87
"155",-71.10059122,42.35907609,59
"156",-71.09970706,42.35994117,114
"157",-71.10051677,42.35811755,293
"158",-71.10414043,42.36105152,228
"159",-71.10047557,42.35863322,118
"160",-71.09982316,42.3591568,107
"161",-71.10061367,42.36070942,168
"162",-71.10102167,42.35936695,31
"163",-71.09973299,42.35594148,722
"164",-71.10126132,42.35846223,164
"165",-71.10093729,42.35894896,127
"166",-71.09971078,42.35818296,159
"167",-71.10086071,42.35900834,50
"168",-71.09962011,42.35901439,107
"169",-71.10154627,42.35737651,363
"170",-71.10018451,42.35845953,111
"171",-71.1018342,42.35873722,79
"172",-71.10018805,42.35902604,80
"173",-71.1013037,42.36067164,132
"174",-71.10142547,42.35866308,163
"175",-71.10226449,42.35951625,97
"176",-71.10016028,42.35984354,78
"177",-71.10262789,42.36100517,186
"178",-71.09887586,42.35683282,722
"179",-71.10140273,42.36121752,189
"180",-71.0997324,42.35900906,107
"181",-71.10012006,42.35852008,111
"182",-71.09961401,42.35597753,729
"183",-71.1015037,42.35728796,366
"184",-71.10181121,42.35960529,47
"185",-71.1018803,42.35925787,50
"186",-71.10143702,42.35855061,169
"187",-71.10113503,42.36115014,195
"188",-71.09895834,42.35854798,197
"189",-71.09988752,42.35940646,138
"190",-71.09871366,42.3602781,169
"191",-71.09947609,42.35737536,414
"192",-71.10153063,42.36103967,173
"193",-71.10187081,42.35885136,83
"194",-71.10109995,42.35995872,68
"195",-71.10150164,42.36134872,202
"196",-71.09861932,42.35854216,214
"197",-71.09826157,42.35803547,421
"198",-71.10111223,42.36037863,101
"199",-71.10143594,42.35967632,12
"200",-71.10202401,42.35981162,47
