,x,y,time
1,-71.08945268,42.35043643,74
2,-71.09137575,42.35245665,771
3,-71.09017498,42.35009129,128
4,-71.08797075,42.35275677,758
5,-71.09020595,42.34974469,174
6,-71.08913545,42.35222748,726
7,-71.09219267,42.3510363,161
8,-71.08921903,42.34937845,194
9,-71.08782158,42.35078703,166
10,-71.09023187,42.35185815,150
11,-71.09212437,42.35193289,823
12,-71.08961681,42.35157669,96
13,-71.08985376,42.35316604,717
14,-71.09139131,42.35318156,273
15,-71.09178569,42.34985876,215
16,-71.09077142,42.35165438,750
17,-71.0898343,42.35122467,69
18,-71.08889871,42.35197492,733
19,-71.09133395,42.34863408,297
20,-71.08789082,42.350225,180
21,-71.08964067,42.34965983,155
22,-71.09078614,42.35078448,137
23,-71.09008462,42.35016553,121
24,-71.09243438,42.35139128,855
25,-71.08910316,42.35145123,110
26,-71.0877925,42.35302689,745
27,-71.08817384,42.35182236,174
28,-71.09079855,42.35118261,130
29,-71.09016922,42.35020147,119
30,-71.08899834,42.3520688,730
31,-71.08861868,42.35122433,88
32,-71.0888369,42.3511536,74
33,-71.0871796,42.35206134,236
34,-71.09007067,42.35146132,87
35,-71.08909941,42.35135319,108
36,-71.09204149,42.35121789,178
37,-71.08964974,42.34964704,155
38,-71.09090859,42.35141911,129
39,-71.08814622,42.35039085,169
40,-71.0900768,42.35044134,108
41,-71.08972073,42.35186167,605
42,-71.09012111,42.35123258,87
43,-71.09066379,42.35071251,52
44,-71.08851504,42.35111417,90
45,-71.08990452,42.35049257,63
46,-71.08803288,42.34991711,198
47,-71.09123532,42.3529919,255
48,-71.08893776,42.35019652,119
49,-71.09081218,42.35390749,794
50,-71.09035907,42.35046775,89
51,-71.09010055,42.35167965,116
52,-71.08950181,42.35213438,702
53,-71.08800347,42.3535964,745
54,-71.08988628,42.35001881,136
55,-71.08970307,42.35161654,105
56,-71.08914544,42.35294174,724
57,-71.0916379,42.35056293,146
58,-71.08944617,42.35156371,97
59,-71.0885667,42.35132953,93
60,-71.09039681,42.34935807,268
61,-71.08942754,42.3503592,77
62,-71.09241891,42.35175564,843
63,-71.08986176,42.34914147,235
64,-71.08729535,42.35205773,229
65,-71.08984822,42.3495224,156
66,-71.08761781,42.35140161,147
67,-71.09001817,42.34982447,156
68,-71.09003507,42.35314077,719
69,-71.09067013,42.35057489,56
70,-71.09252579,42.34947274,265
71,-71.08967267,42.35203025,691
72,-71.09139964,42.35009712,142
73,-71.09077018,42.35065376,59
74,-71.09009986,42.35273367,689
75,-71.09066677,42.35245041,202
76,-71.08915369,42.35001461,101
77,-71.09116102,42.35107471,154
78,-71.09021286,42.3515619,105
79,-71.08934668,42.35045167,61
80,-71.08807486,42.35291557,759
81,-71.09021218,42.35028909,119
82,-71.09083603,42.34980005,206
83,-71.0896195,42.35217837,697
84,-71.09013832,42.35088407,17
85,-71.09129456,42.35022893,148
86,-71.09017318,42.35167561,116
87,-71.08950436,42.35026936,84
88,-71.09057224,42.35117891,117
89,-71.09121025,42.35032624,141
90,-71.08980791,42.3505474,56
91,-71.08956838,42.35169287,133
92,-71.09069198,42.35125377,121
93,-71.0893673,42.35492338,842
94,-71.08854637,42.34953198,159
95,-71.0892408,42.34997544,111
96,-71.09072303,42.35134772,120
97,-71.0906019,42.35313401,253
98,-71.0882002,42.35061278,140
99,-71.09032415,42.35242384,193
100,-71.08780288,42.35125904,143
101,-71.09084745,42.35163187,755
102,-71.09221709,42.35232477,819
103,-71.0917604,42.34978768,217
104,-71.08856001,42.35137787,95
105,-71.09072044,42.34984685,199
106,-71.08799915,42.34990871,200
107,-71.09068046,42.35036987,110
108,-71.09033047,42.35054803,85
109,-71.08845009,42.3510437,102
110,-71.08949532,42.35060551,46
111,-71.09331504,42.35260396,864
112,-71.08943004,42.35259479,714
113,-71.09071795,42.35104113,126
114,-71.09180315,42.35195968,805
115,-71.08908302,42.35012982,102
116,-71.0920054,42.34943206,257
117,-71.08962166,42.34980258,147
118,-71.087342,42.35146715,164
119,-71.08902805,42.34903615,302
120,-71.09065517,42.34968106,200
121,-71.09033405,42.35014598,136
122,-71.09214336,42.35040389,148
123,-71.08759362,42.35299254,731
124,-71.09023575,42.34949549,257
125,-71.09228759,42.34966993,201
126,-71.09039423,42.35131749,102
127,-71.09040968,42.35236999,191
128,-71.09257376,42.35039613,267
129,-71.09085263,42.34998789,170
130,-71.08853239,42.3501332,142
131,-71.08989639,42.3504763,97
132,-71.09009788,42.35106693,90
133,-71.0894912,42.3515158,93
134,-71.09147294,42.35032257,109
135,-71.08959561,42.35041223,82
136,-71.08912966,42.3516841,117
137,-71.08980784,42.35043738,93
138,-71.09059255,42.3514863,109
139,-71.08965499,42.35042056,85
140,-71.08973161,42.35061186,49
141,-71.0901541,42.35052092,76
142,-71.09056391,42.35101048,118
143,-71.09106622,42.35083817,152
144,-71.09065018,42.3493932,272
145,-71.08975757,42.35149248,90
146,-71.09016067,42.35060807,74
147,-71.09292396,42.35060298,614
148,-71.09069941,42.34976264,198
149,-71.09090066,42.35228681,753
150,-71.09245207,42.35060864,274
151,-71.09017186,42.35047988,78
152,-71.09072269,42.34821322,395
153,-71.08944459,42.35173544,101
154,-71.09028088,42.35097557,103
155,-71.09042012,42.35081792,35
156,-71.08944458,42.35142331,91
157,-71.08854244,42.34974648,166
158,-71.09038076,42.34990791,177
159,-71.09159183,42.34938219,202
160,-71.09157179,42.34963608,181
161,-71.08932773,42.35124987,93
162,-71.09037855,42.35081345,33
163,-71.0877053,42.35168587,194
164,-71.09214433,42.35016569,173
165,-71.08985938,42.34912801,235
166,-71.0885431,42.35002485,138
167,-71.09028155,42.35128533,97
168,-71.08840336,42.35167738,155
169,-71.09054481,42.35150638,105
170,-71.08714522,42.35263209,714
171,-71.08882514,42.35169942,134
172,-71.08945002,42.35267121,666
173,-71.08889496,42.35190775,136
174,-71.09099202,42.35090984,146
175,-71.09208122,42.34957538,207
176,-71.09215567,42.35164519,831
177,-71.08866691,42.35125468,86
178,-71.09070778,42.35174159,746
179,-71.0903506,42.35222586,179
180,-71.08864272,42.3509728,89
181,-71.0870732,42.35340844,688
182,-71.0892613,42.35050228,69
183,-71.09009937,42.35143354,82
184,-71.09061095,42.35013169,145
185,-71.08897561,42.35187183,131
186,-71.08822346,42.35075713,141
187,-71.09032854,42.34872634,357
188,-71.08984817,42.3513595,71
189,-71.08961936,42.35070731,40
190,-71.08996935,42.35038678,103
191,-71.09170106,42.35189134,800
192,-71.08859444,42.34993507,166
193,-71.08955562,42.35268959,666
194,-71.0916338,42.35140009,178
195,-71.09229988,42.35036066,173
196,-71.08997621,42.35089307,8
197,-71.0889322,42.35263082,745
198,-71.09025321,42.35104586,100
199,-71.08947898,42.34993745,125
200,-71.08925466,42.35064762,58
