tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
409,2017-12-01 07:01:06,2017-12-01 07:07:56,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,469,Subscriber,1979,1,
445,2017-12-01 07:02:41,2017-12-01 07:10:06,121,W Broadway at Dorchester St,42.335693,-71.045859,192,Purchase St at Pearl St,42.354659,-71.053181,1799,Subscriber,1989,1,
287,2017-12-01 07:03:28,2017-12-01 07:08:16,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,70,Harvard Kennedy School at Bennett St / Eliot St,42.37199165408676,-71.12226963043213,963,Subscriber,1985,1,
320,2017-12-01 07:03:27,2017-12-01 07:08:48,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,5,Northeastern University - North Parking Lot,42.341814,-71.090179,1699,Subscriber,1997,1,
599,2017-12-01 07:04:38,2017-12-01 07:14:38,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,1586,Subscriber,1970,1,
1219,2017-12-01 07:05:54,2017-12-01 07:26:13,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,135,ID Building East,42.344827,-71.028664,1704,Subscriber,1988,1,
877,2017-12-01 07:05:54,2017-12-01 07:20:31,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,49,Stuart St at Charles St,42.351146,-71.066289,1873,Subscriber,1966,1,
1063,2017-12-01 07:06:13,2017-12-01 07:23:56,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,54,Tremont St at West St,42.354979,-71.063348,678,Subscriber,1983,1,
207,2017-12-01 07:06:15,2017-12-01 07:09:42,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,206,Subscriber,1992,1,
708,2017-12-01 07:06:24,2017-12-01 07:18:13,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,1833,Subscriber,1968,1,
589,2017-12-01 07:06:31,2017-12-01 07:16:21,58,Beacon St at Arlington St,42.35554932336134,-71.07284188270569,192,Purchase St at Pearl St,42.354659,-71.053181,1573,Subscriber,1958,1,
580,2017-12-01 07:06:42,2017-12-01 07:16:23,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,35,Arch St at Franklin St,42.35581929709065,-71.05887290099417,654,Subscriber,1978,1,
187,2017-12-01 07:07:06,2017-12-01 07:10:14,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,100,Davis Square,42.396969,-71.123024,1212,Subscriber,1980,1,
854,2017-12-01 07:07:48,2017-12-01 07:22:03,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480377,177,University Park,42.36264779118595,-71.10006093978882,1819,Subscriber,1968,1,
626,2017-12-01 07:08:12,2017-12-01 07:18:39,71,Conway Park - Somerville Avenue,42.383405,-71.107593,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,1376,Subscriber,1986,1,
1711,2017-12-01 07:09:17,2017-12-01 07:37:49,111,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,15,Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,1666,Subscriber,1993,2,
203,2017-12-01 07:09:45,2017-12-01 07:13:08,54,Tremont St at West St,42.354979,-71.063348,48,Post Office Square - Pearl St at Milk St,42.356755,-71.055407,567,Subscriber,1987,1,
323,2017-12-01 07:10:59,2017-12-01 07:16:22,21,Prudential Center - Belvedere St,42.345959,-71.082578,5,Northeastern University - North Parking Lot,42.341814,-71.090179,1078,Subscriber,1956,1,
563,2017-12-01 07:11:56,2017-12-01 07:21:19,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,136,ID Building West,42.344796,-71.031614,1778,Subscriber,1956,1,
740,2017-12-01 07:12:15,2017-12-01 07:24:35,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,33,Kenmore Square,42.348706,-71.097009,1046,Subscriber,1963,2,
371,2017-12-01 07:12:20,2017-12-01 07:18:32,6,Cambridge St at Joy St,42.361199417496216,-71.06519486764228,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,168,Subscriber,1984,1,
353,2017-12-01 07:13:02,2017-12-01 07:18:55,31,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,48,Post Office Square - Pearl St at Milk St,42.356755,-71.055407,717,Subscriber,1976,1,
1659,2017-12-01 07:14:18,2017-12-01 07:41:58,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,355,Subscriber,1980,1,
1126,2017-12-01 07:15:00,2017-12-01 07:33:47,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,1184,Subscriber,1995,1,
510,2017-12-01 07:15:03,2017-12-01 07:23:33,94,Main St at Austin St,42.375603,-71.064608,44,Congress St at North St,42.360613,-71.057452,1912,Subscriber,1987,1,
579,2017-12-01 07:15:23,2017-12-01 07:25:02,121,W Broadway at Dorchester St,42.335693,-71.045859,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,244,Subscriber,1991,2,
423,2017-12-01 07:15:35,2017-12-01 07:22:39,140,Danehy Park,42.388966,-71.132788,100,Davis Square,42.396969,-71.123024,1182,Subscriber,1979,1,
508,2017-12-01 07:16:23,2017-12-01 07:24:52,121,W Broadway at Dorchester St,42.335693,-71.045859,31,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,86,Subscriber,1993,1,
381,2017-12-01 07:16:27,2017-12-01 07:22:49,107,Ames St at Main St,42.3625,-71.08822,179,MIT Vassar St,42.355601213279265,-71.10394477844238,439,Subscriber,1970,1,
827,2017-12-01 07:16:28,2017-12-01 07:30:15,115,Porter Square Station,42.387995,-71.119084,117,Binney St / Sixth St,42.366095,-71.086388,1732,Subscriber,1969,1,
486,2017-12-01 07:16:29,2017-12-01 07:24:35,131,Jackson Square T Stop,42.32293117195949,-71.10014140605927,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,1548,Subscriber,1988,2,
1433,2017-12-01 07:17:11,2017-12-01 07:41:04,126,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,60,Charles Circle - Charles St at Cambridge St TEMPORARY WINTER LOCATION,42.36075761041193,-71.07132909824031,1818,Subscriber,1984,1,
1170,2017-12-01 07:17:15,2017-12-01 07:36:45,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,125,Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,416,Subscriber,1987,1,
948,2017-12-01 07:17:54,2017-12-01 07:33:43,9,Commonwealth Ave at Buick St,42.35062177153799,-71.11288218766276,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,371,Subscriber,1993,1,
1160,2017-12-01 07:18:11,2017-12-01 07:37:31,9,Commonwealth Ave at Buick St,42.35062177153799,-71.11288218766276,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,382,Subscriber,1977,1,
323,2017-12-01 07:19:32,2017-12-01 07:24:55,169,Edwards Playground - Main St at Eden St,42.378965,-71.068607,171,Bunker Hill Community College,42.37408991426522,-71.06905996799469,1059,Subscriber,1989,2,
774,2017-12-01 07:19:32,2017-12-01 07:32:27,60,Charles Circle - Charles St at Cambridge St TEMPORARY WINTER LOCATION,42.36075761041193,-71.07132909824031,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,578,Subscriber,1978,2,
382,2017-12-01 07:19:53,2017-12-01 07:26:16,181,Huron Ave. At Vassal Lane,42.381650612901176,-71.13426981498378,115,Porter Square Station,42.387995,-71.119084,1648,Subscriber,1966,1,
1056,2017-12-01 07:20:12,2017-12-01 07:37:49,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,1645,Subscriber,1984,2,
758,2017-12-01 07:20:16,2017-12-01 07:32:54,115,Porter Square Station,42.387995,-71.119084,177,University Park,42.36264779118595,-71.10006093978882,451,Subscriber,1990,2,
1248,2017-12-01 07:20:25,2017-12-01 07:41:13,98,Warren St at Chelsea St,42.371848,-71.060292,21,Prudential Center - Belvedere St,42.345959,-71.082578,1747,Subscriber,1975,1,
724,2017-12-01 07:20:54,2017-12-01 07:32:59,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,1373,Subscriber,1978,1,
799,2017-12-01 07:20:56,2017-12-01 07:34:15,125,Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,1730,Subscriber,1968,1,
799,2017-12-01 07:21:05,2017-12-01 07:34:25,102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1708,Subscriber,1994,2,
384,2017-12-01 07:21:17,2017-12-01 07:27:41,130,Upham's Corner TEMPORARY WINTER LOCATION,42.31750891943043,-71.06416625906604,93,JFK/UMass T Stop,42.32033973515723,-71.05118036270142,1148,Subscriber,1996,2,
595,2017-12-01 07:21:25,2017-12-01 07:31:21,119,South Boston Library - 646 E Broadway,42.335741,-71.03877,31,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,885,Subscriber,1993,1,
576,2017-12-01 07:21:40,2017-12-01 07:31:17,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,1115,Subscriber,1964,1,
