tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
282,2018-03-01 15:00:20,2018-03-01 15:05:02,60,Charles Circle - Charles St at Cambridge St TEMPORARY WINTER LOCATION,42.36075761041193,-71.07132909824031,58,Beacon St at Arlington St,42.35554932336134,-71.07284188270569,695,Subscriber,1946,2,
1345,2018-03-01 15:00:51,2018-03-01 15:23:16,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,1218,Subscriber,1991,1,
666,2018-03-01 15:03:17,2018-03-01 15:14:23,142,Alewife Station at Russell Field,42.396105,-71.139459,142,Alewife Station at Russell Field,42.396105,-71.139459,1065,Subscriber,1986,2,
454,2018-03-01 15:03:17,2018-03-01 15:10:51,100,Davis Square,42.396969,-71.123024,71,Conway Park - Somerville Avenue,42.383405,-71.107593,1913,Subscriber,1988,1,
653,2018-03-01 15:02:45,2018-03-01 15:13:38,4,Tremont St at E Berkeley St,42.345392,-71.069616,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,1083,Subscriber,1994,1,
1208,2018-03-01 15:04:37,2018-03-01 15:24:45,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,1855,Subscriber,1973,1,
374,2018-03-01 15:04:38,2018-03-01 15:10:53,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,504,Subscriber,1980,2,
1495,2018-03-01 15:05:02,2018-03-01 15:29:57,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,1649,Subscriber,1981,1,
445,2018-03-01 15:05:04,2018-03-01 15:12:29,54,Tremont St at West St,42.354979,-71.063348,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,1804,Subscriber,1982,1,
310,2018-03-01 15:05:28,2018-03-01 15:10:39,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,594,Subscriber,1984,2,
1139,2018-03-01 15:05:49,2018-03-01 15:24:49,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,1032,Subscriber,1971,1,
483,2018-03-01 15:05:58,2018-03-01 15:14:02,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,950,Subscriber,1985,1,
238,2018-03-01 15:06:20,2018-03-01 15:10:18,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,1311,Subscriber,1966,1,
277,2018-03-01 15:06:30,2018-03-01 15:11:08,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,525,Subscriber,1975,1,
1315,2018-03-01 15:06:51,2018-03-01 15:28:46,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,115,Porter Square Station,42.387995,-71.119084,47,Subscriber,1966,1,
1235,2018-03-01 15:07:57,2018-03-01 15:28:33,71,Conway Park - Somerville Avenue,42.383405,-71.107593,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,385,Subscriber,1964,1,
646,2018-03-01 15:08:30,2018-03-01 15:19:17,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1162,Subscriber,1995,1,
199,2018-03-01 15:09:08,2018-03-01 15:12:27,139,Dana Park,42.361780439606044,-71.10809952020645,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,580,Subscriber,1973,1,
187,2018-03-01 15:09:34,2018-03-01 15:12:41,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,742,Subscriber,1987,1,
