tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
142,2017-12-01 15:00:04,2017-12-01 15:02:26,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,897,Subscriber,1997,1,
332,2017-12-01 15:00:07,2017-12-01 15:05:40,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1745,Subscriber,1989,1,
283,2017-12-01 15:00:11,2017-12-01 15:04:55,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,49,Stuart St at Charles St,42.351146,-71.066289,1654,Subscriber,1960,1,
725,2017-12-01 15:00:12,2017-12-01 15:12:17,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,54,Tremont St at West St,42.354979,-71.063348,1571,Subscriber,1971,2,
591,2017-12-01 15:00:13,2017-12-01 15:10:05,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,32,Landmark Center - Brookline Ave at Park Dr,42.34519428944095,-71.1016970872879,1924,Subscriber,1950,1,
866,2017-12-01 15:00:14,2017-12-01 15:14:40,115,Porter Square Station,42.387995,-71.119084,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,165,Subscriber,1988,2,
446,2017-12-01 15:00:57,2017-12-01 15:08:24,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,21,Prudential Center - Belvedere St,42.345959,-71.082578,1883,Subscriber,1994,1,
289,2017-12-01 15:01:09,2017-12-01 15:05:59,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,1291,Subscriber,1968,1,
1850,2017-12-01 15:01:31,2017-12-01 15:32:22,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,109,TD Garden - West End Park,42.36590788445084,-71.06446668505669,1376,Subscriber,1984,2,
1832,2017-12-01 15:01:32,2017-12-01 15:32:05,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,109,TD Garden - West End Park,42.36590788445084,-71.06446668505669,1133,Subscriber,1980,1,
348,2017-12-01 15:02:33,2017-12-01 15:08:21,107,Ames St at Main St,42.3625,-71.08822,179,MIT Vassar St,42.355601213279265,-71.10394477844238,1730,Subscriber,1999,1,
