tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
433,2018-02-01 07:01:07,2018-02-01 07:08:21,56,Dudley Square - Dudley St at Warren St,42.32854046293402,-71.08416482806204,39,Washington St at Rutland St,42.338514601785995,-71.07404083013535,448,Subscriber,1991,2,
147,2018-02-01 07:03:11,2018-02-01 07:05:38,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512249236,-71.10061883926392,203,Subscriber,1969,1,
338,2018-02-01 07:03:50,2018-02-01 07:09:28,121,W Broadway at Dorchester St,42.335693,-71.045859,163,The Lawn on D,42.344792,-71.044024,1232,Subscriber,1993,1,
742,2018-02-01 07:04:00,2018-02-01 07:16:23,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,31,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,1866,Subscriber,1983,1,
748,2018-02-01 07:04:10,2018-02-01 07:16:38,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,117,Binney St / Sixth St,42.366095,-71.086388,969,Subscriber,1979,1,
645,2018-02-01 07:05:49,2018-02-01 07:16:35,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,71,Conway Park - Somerville Avenue,42.383405,-71.107593,1205,Subscriber,1993,1,
390,2018-02-01 07:07:12,2018-02-01 07:13:42,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,1109,Subscriber,1987,1,
494,2018-02-01 07:08:12,2018-02-01 07:16:27,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,54,Tremont St at West St,42.354979,-71.063348,918,Subscriber,1966,1,
1141,2018-02-01 07:11:06,2018-02-01 07:30:08,169,Edwards Playground - Main St at Eden St,42.378965,-71.068607,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,1585,Subscriber,1982,1,
1158,2018-02-01 07:11:42,2018-02-01 07:31:00,100,Davis Square,42.396969,-71.123024,149,175 N Harvard St,42.363796,-71.129164,98,Subscriber,1993,2,
524,2018-02-01 07:11:46,2018-02-01 07:20:30,26,Washington St at Waltham St,42.341522,-71.068922,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,1773,Subscriber,1975,1,
1546,2018-02-01 07:12:28,2018-02-01 07:38:14,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,71,Conway Park - Somerville Avenue,42.383405,-71.107593,419,Subscriber,1957,1,
2233,2018-02-01 07:12:45,2018-02-01 07:49:59,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,11,Longwood Ave at Binney St,42.338629,-71.1065,1851,Subscriber,1995,2,
379,2018-02-01 07:13:19,2018-02-01 07:19:39,192,Purchase St at Pearl St,42.354659,-71.053181,42,Boylston St at Arlington St TEMPORARY WINTER LOCATION,42.352583438376996,-71.06766249993596,1723,Subscriber,1985,1,
365,2018-02-01 07:13:21,2018-02-01 07:19:26,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,11,Longwood Ave at Binney St,42.338629,-71.1065,1378,Subscriber,1992,1,
