x,y
-71.094739,42.35960771
-71.09172701,42.35812189
-71.09179674,42.35860966
-71.09187638,42.35910339
-71.09123773,42.35912221
-71.09467323,42.35841766
-71.09328081,42.35701886
-71.09340988,42.35855218
-71.09469767,42.35629206
-71.09232094,42.35998396
-71.09161065,42.35579012
-71.09326136,42.35674544
-71.09197834,42.35679022
-71.09171391,42.35916035
-71.09344792,42.36046667
-71.09175835,42.35955497
-71.0947035,42.3601018
-71.09370983,42.35673615
-71.09449538,42.35636764
-71.09220469,42.35571417
-71.0955806,42.35634557
-71.09305415,42.36051499
-71.09327673,42.35783221
-71.09477995,42.35800656
-71.09490105,42.36028914
-71.0927843,42.35818352
-71.0940227,42.36059222
-71.09224374,42.35795132
-71.09464705,42.35757694
-71.09487941,42.35824057
-71.09172961,42.35660072
-71.09251025,42.35770419
-71.09426537,42.35864649
-71.09496438,42.3600904
-71.09400621,42.3585567
-71.09557158,42.35806065
-71.09336916,42.3560199
-71.09617697,42.35633214
-71.09190025,42.35811189
-71.09487488,42.35797806
-71.09274573,42.35841685
-71.09393237,42.35820519
-71.09381419,42.35703958
-71.09216931,42.35581663
-71.09118102,42.35684785
-71.09288714,42.35715305
-71.09207116,42.35805689
-71.0926914,42.35508616
-71.0961007,42.36061782
-71.09392563,42.3595628
-71.09449384,42.35940443
-71.09603069,42.35905107
-71.09299464,42.357971
-71.09369494,42.35920026
-71.09414329,42.3581722
-71.09329934,42.35821387
-71.09345557,42.35936918
-71.09274586,42.35917677
-71.0955932,42.35750519
-71.09138973,42.35483113
-71.0926415,42.35829233
-71.09471221,42.35927123
-71.09151292,42.3583059
-71.09618694,42.35496468
-71.09512791,42.35605957
-71.09270567,42.35832957
-71.09681231,42.35690256
-71.09147806,42.35839473
-71.09000654,42.35791688
-71.09386348,42.36068682
-71.09243166,42.3555845
-71.09184608,42.35621514
-71.09213285,42.3562981
-71.09416609,42.3552835
-71.09225545,42.35697661
-71.09366575,42.35864971
-71.09392814,42.35861113
-71.09289446,42.35733353
-71.09389816,42.35804118
-71.09590976,42.35718121
-71.09231211,42.35875744
-71.091939,42.3575575
-71.09436437,42.35860006
-71.09001608,42.35652905
-71.09286807,42.35836948
-71.0930723,42.35972252
-71.09314854,42.35777196
-71.0951863,42.359023
-71.09259939,42.35819371
-71.09549864,42.36025301
-71.09262066,42.35654071
-71.0935817,42.35732224
-71.09609777,42.35838882
-71.09303737,42.35855792
-71.09655788,42.35825983
-71.09388355,42.35620779
-71.09400307,42.3607591
-71.09224803,42.35827436
-71.09370127,42.35855663
-71.09271496,42.3580695
-71.09530664,42.3548785
-71.09481861,42.35922402
-71.09360033,42.35787179
-71.09107382,42.35854213
-71.09564034,42.35837575
-71.09229254,42.35843927
-71.09325591,42.35910308
-71.09414027,42.35709772
-71.09586657,42.35775766
-71.09332731,42.35919519
-71.09238791,42.35968398
-71.09346976,42.35796395
-71.09207418,42.35859224
-71.09485338,42.35727541
-71.0946467,42.35736208
-71.09440395,42.36079472
-71.093377,42.35753232
-71.09213258,42.35874109
-71.09297596,42.35812143
-71.09402162,42.35766744
-71.09331405,42.36064958
-71.09298208,42.35757305
-71.0917934,42.35910467
-71.09315147,42.35637633
-71.09489128,42.35787419
-71.09291531,42.35930419
-71.0919728,42.35977823
-71.09305901,42.35978203
-71.09422991,42.35645626
-71.09352023,42.35994107
-71.09348055,42.35860089
-71.09262199,42.35850871
-71.09234233,42.35676363
-71.09153574,42.35814872
-71.09297099,42.35858123
-71.09138117,42.35831486
-71.09382299,42.35647544
-71.09441418,42.35547852
-71.09202425,42.35533018
-71.09380068,42.35599121
-71.09119931,42.35887548
-71.0909169,42.35845947
-71.09537151,42.35876862
-71.09533057,42.35792113
-71.09253792,42.35672205
-71.09330205,42.35904443
-71.09347562,42.3571711
-71.09461116,42.35949894
-71.09157629,42.35768323
-71.09372226,42.35619572
-71.09332422,42.35809724
-71.09406638,42.35688478
-71.09278611,42.35914135
-71.09241517,42.35550535
-71.09438667,42.36085658
-71.09294189,42.35596165
-71.09247623,42.35636999
-71.09362537,42.35572786
-71.0928434,42.35768043
-71.09238639,42.35674991
-71.09180994,42.35759777
-71.09358988,42.35960974
-71.09361036,42.35663442
-71.09273773,42.35615293
-71.09302492,42.35641942
-71.09371192,42.36000137
-71.09280174,42.35693793
-71.09278531,42.36015744
-71.09465303,42.35772115
-71.09334849,42.35877048
-71.09432827,42.36014466
-71.09673562,42.35810907
-71.09106555,42.35703525
-71.09106533,42.35689716
-71.09253267,42.35920006
-71.08986907,42.35539944
-71.09298446,42.35535472
-71.09503551,42.35732969
-71.09439301,42.35647265
-71.09459892,42.35880233
-71.09552979,42.36041339
-71.09405917,42.35625665
-71.09469485,42.35906875
-71.09270237,42.35827231
-71.09423777,42.35588319
-71.09367635,42.35927537
-71.09621451,42.35694408
-71.09298542,42.35669423
-71.09340621,42.35895502
-71.09347114,42.35872157
-71.09413963,42.35859534
-71.09400013,42.35839618
-71.09293964,42.35874219
-71.09347624,42.3587663
-71.09195345,42.35747192
-71.09385162,42.35925527
-71.09444383,42.35629082
-71.0899823,42.35578752
-71.09268494,42.35979654
-71.0932355,42.35719469
-71.09374696,42.35873352
-71.09480791,42.35810944
-71.095577,42.35581744
-71.09254021,42.35772308
-71.09103236,42.35852473
-71.09384146,42.35734756
-71.09419398,42.35696129
-71.09601534,42.35578814
-71.0956177,42.35791293
-71.09387965,42.35756138
-71.09170248,42.3584562
-71.09286696,42.35985691
-71.09181748,42.3579333
-71.09195082,42.35700193
-71.09223958,42.35800757
-71.09278227,42.35654296
-71.09350423,42.35673144
-71.09009296,42.35883141
-71.09300777,42.35691943
