"(64, 190)","(39, 22)","(189, 190)","(67, 74)","(22, 190)","(80, 78)","(39, 46)","(133, 124)","(4, 22)","(80, 190)"
1820,1772,1675,1991,1513,1914,1024,481,1355,2048
2012,1857,1742,2731,1690,1651,1195,785,1377,2037
1856,0,1915,2822,0,1717,1364,842,0,2227
1772,0,1830,2777,0,2012,1085,1195,0,2202
1682,0,1822,2768,0,1735,958,898,0,2200
1737,0,2032,2329,0,1852,1198,672,0,2263
1515,1801,1972,2381,1487,1980,1166,326,1326,2211
1554,1843,1847,2058,1370,1987,1304,786,1413,2282
1781,2001,1851,2348,1281,1902,925,1385,1419,2240
1819,1961,1734,2799,1378,1795,987,1429,1333,2144
1804,2016,1735,3003,1528,1680,1213,1181,1527,2082
1915,0,1716,2370,0,1891,1080,1842,0,2202
1719,1857,1767,3172,1335,1727,1188,2069,1312,2081
1818,1997,1900,2692,1483,1382,1056,1855,1137,2308
1663,1981,1804,1996,1408,1896,1013,1474,1452,2249
1705,2078,1821,2763,1561,1852,917,1640,1371,2198
1796,1851,1797,1935,1411,1703,950,1523,1468,2261
1769,2062,1752,2298,1418,1902,951,967,1386,2079
1811,2005,1734,2373,1556,1647,1067,646,1359,2037
2023,1861,1965,2368,1696,1607,1265,1515,1296,2391
1842,0,2080,2393,0,1689,1276,879,0,2462
2025,2048,1984,0,1723,1913,913,1071,1621,2221
1715,0,1700,2054,0,1488,1129,762,0,2301
1772,2033,1766,2142,1491,2063,1162,967,1302,2224
1993,2226,1702,1990,1785,1840,965,2191,1887,1898
1896,2245,1683,2006,1755,1844,1103,907,1866,2073
1874,2313,1789,1902,1713,1837,1125,1302,1715,2055
1751,1891,1626,2673,1627,1634,1263,1454,1175,2073
1546,1950,1926,2058,1426,2233,895,1189,1426,2283
1909,2017,1786,2108,1417,1749,1219,1369,1463,2296
1656,2008,1811,3159,1264,1680,839,2027,1294,2224
1634,1751,1659,2166,1216,0,1106,839,1198,0
1636,1978,1861,2074,1252,1638,1025,942,1451,2180
1560,1857,1835,1824,1522,1813,1125,971,1457,2170
2055,1950,1667,2065,1584,0,1143,1283,1257,0
1673,2205,1955,2005,1681,1972,1179,1320,1740,2437
1665,2081,1764,2248,1594,1824,1074,1444,1405,2231
1634,1922,1895,2308,1230,1969,1178,1517,1481,2206
1696,1687,1593,2774,1483,1799,1098,272,1280,2113
1807,2004,1834,2245,1471,1805,1015,839,1259,2231
1781,2153,1979,2191,1679,1494,1201,1347,1677,2325
1722,0,1759,2084,0,1794,1090,599,0,2108
1847,2268,1767,2254,1654,2235,1017,535,1654,2174
1747,1990,1665,2337,1396,1695,996,363,1492,1934
1875,1997,1902,2314,1739,1826,1043,1088,1540,2413
1783,1756,1799,2380,1662,1648,1078,2012,1363,2197
1839,1928,1857,2739,1510,2201,1228,1126,1322,2253
1754,1895,1957,2381,1517,1807,913,1541,1296,2203
1540,2051,1828,1771,1280,1731,1152,813,1379,2085
1551,1881,1877,1875,1376,2076,1003,1056,1223,2356
1983,1906,1963,2024,1610,1804,1227,865,1442,2377
1616,1983,1979,2007,1236,1855,913,1565,1435,2472
1620,2139,1661,2155,1451,1524,1241,963,1455,2131
1958,0,1666,2050,0,1377,1194,2183,0,2071
1709,2221,1826,2102,1677,2119,1142,950,1807,2192
1756,0,1747,2193,0,1599,1173,443,0,2204
2020,1950,2237,1944,1519,1458,1115,1096,1375,2750
1511,2119,1679,2026,1271,1656,1046,2489,1691,2222
1700,1801,1867,2404,1633,1783,1302,2020,1356,2157
1943,1736,1826,2503,1584,1417,1091,754,1276,2192
1802,0,1831,2766,0,1774,1289,1339,0,2315
1866,2284,1777,1899,1733,1632,1161,865,1770,2240
1737,1977,1701,2628,1366,2038,1365,1937,1401,2084
1949,1846,1953,2460,1811,2158,1022,1143,1189,2332
1604,1979,1873,2445,1565,1838,903,926,1259,2146
1697,2181,1810,2719,1731,1708,1037,1222,1594,2261
1925,1791,1802,2343,1550,1439,1120,1322,1261,2209
1809,2076,1702,2705,1647,1819,1090,679,1636,2236
1423,5031,1722,2738,3734,2053,1124,772,0,2181
1982,1947,1892,2044,1573,1250,1284,1158,1598,2153
1774,1813,1940,2362,1461,1961,1094,1281,1408,2423
1820,2046,1849,3125,1266,1989,1235,1267,1452,2176
1889,1661,1748,2234,1772,1870,917,1609,1163,2195
1733,1929,1756,2465,1461,1515,1255,1345,1350,2296
1655,1884,1919,2224,1236,1687,900,753,1317,2102
1880,1975,1703,2083,1740,1869,890,897,1481,2397
1653,2412,1763,2253,1622,1456,1137,2296,1973,2175
1730,1896,1731,2071,1478,1683,915,1122,1336,2128
1702,1952,1773,2110,1329,1365,992,1337,1431,2214
1651,2168,2057,2280,1702,2093,1055,2239,1509,2339
1730,2050,1735,2788,1358,2074,1252,1112,1414,2236
1816,2246,1637,2706,1716,1664,954,555,1759,1957
1885,1823,1741,1977,1363,1815,1011,1107,1420,1919
1989,1908,1900,2336,1729,2324,1044,745,1525,2295
1622,0,1742,2211,0,1936,1025,1348,0,2326
1754,1941,1955,2021,1399,1652,979,1209,1574,2031
1651,8278,1719,2110,3659,1676,1169,1883,0,2100
1523,2078,1894,2081,1153,1657,930,500,1525,2171
1584,1825,2154,2614,1341,1668,978,1206,1375,2495
1737,1883,1756,1930,1475,1699,1244,848,1417,2007
1635,1714,1886,2514,1418,1892,1315,1317,1318,2138
1998,1908,1893,2208,1847,2205,1019,724,1390,2304
1905,2054,1929,2096,1647,1838,1079,1412,1256,2304
1797,1920,1670,2065,1320,1702,1141,1634,1492,1983
1714,0,1843,2119,0,1851,950,609,0,2108
1671,2012,1937,2405,1394,1733,1294,836,1480,2118
1689,1942,1768,2039,1409,1764,1197,1273,1377,2160
1683,1936,1933,2797,1251,1831,1066,1116,1394,2222
1642,1896,1935,2076,1204,1926,1101,1208,1472,2268
1687,1762,1701,2017,1430,1556,1278,901,1306,1970
1733,2098,2072,2385,1633,1775,1029,1073,1663,2424
1609,1959,1696,2027,1291,1625,1055,1374,1398,1988
1776,1809,1753,2112,1452,1835,1021,1000,1341,2096
1713,1924,1729,2652,1561,1966,1130,815,1368,2190
1777,1986,1864,2018,1465,1201,1158,2177,1345,2253
1890,1991,1631,2892,1569,1689,1140,936,1699,2080
1815,0,1913,2137,0,0,1050,323,0,0
1742,0,1651,2273,0,1722,1267,1420,0,1859
1829,1920,1608,2264,1482,1907,1158,618,1368,1894
1651,2019,1569,2054,1377,1740,1082,559,1439,2028
1746,1939,1755,2804,1528,1689,1070,1814,1372,2080
1598,2031,1810,2075,1233,2290,1010,1053,1457,2144
1603,1940,1765,3015,1209,1862,1082,1230,1334,2116
2047,1734,1693,2273,1513,1747,1044,1397,1357,2032
1747,1747,1735,2336,1556,1699,1103,1107,1085,2075
1945,2229,1761,1938,1756,1785,1165,1858,1584,2079
1704,2042,1728,2183,1480,1982,1166,1012,1529,2165
1556,2175,1644,2714,1663,1856,1035,1914,1778,2170
1816,2028,1711,2078,1334,2054,1226,567,1218,2036
1673,1677,1984,2036,1706,1953,1172,950,1643,2356
2874,1974,2008,2022,1724,1912,1215,685,1493,2174
1848,1971,1902,2159,1323,2036,977,1095,1363,2234
1741,2330,1624,2792,1768,1835,1065,1024,1686,1914
1733,1973,1664,2486,1447,1992,1159,941,1420,2151
1719,1932,1797,2068,1579,1769,1300,752,1536,2306
1880,0,1806,2038,0,1813,1088,1764,0,2176
1847,2000,1903,2785,1519,1627,984,2381,1571,2126
1767,0,1821,2018,0,0,1254,1805,0,0
1696,8224,1852,2385,3419,1927,1044,1635,0,2405
1712,2065,1782,1942,1379,1942,1159,1880,1407,2224
1919,2090,2250,1988,1821,1572,955,1011,1177,2547
1715,2239,1639,2079,1731,2092,1108,942,1708,1987
1806,1765,1813,2442,1539,2077,1109,1036,1372,2178
1721,2217,1782,2788,1578,1656,996,2239,1757,2327
1857,1866,2038,2110,1403,1519,1229,1051,1397,2482
1669,1953,2050,2694,1307,0,1209,1099,1222,0
2676,1978,1752,2403,1558,2026,1007,612,1546,2129
1997,1873,1855,2394,1461,2015,1273,1643,1374,2127
1567,1918,1868,2379,1423,1820,1105,2191,1425,2136
1457,1711,1729,2253,1449,2066,1067,615,985,1987
1511,1668,1751,2739,1451,1634,1182,444,1232,2084
1813,2024,1617,2678,1640,1883,1195,1070,1487,2048
1796,2029,1732,2104,1346,1937,1069,1031,1592,2188
1653,1911,1974,2043,1304,1476,1025,1273,1427,2348
1707,0,1937,2363,0,1753,1235,1202,0,2309
1992,2185,1888,2056,1731,1716,1014,1994,1380,2222
1638,1874,1762,2198,1433,1922,1087,826,1471,2175
1787,1932,1616,1885,1519,1764,1079,1706,1539,2052
1966,2246,1825,2571,1904,0,1057,575,1747,0
1681,0,1701,2353,0,0,1028,1442,0,0
1840,1978,1943,2137,1565,1977,1125,935,1496,2164
1688,1946,1643,2268,1453,1589,1158,1015,1685,1917
1651,1975,1877,2061,1366,1923,924,2251,1521,2247
1664,2257,1852,2268,1682,1828,1087,1379,1832,2187
1717,1923,1779,1972,1551,1650,1055,1463,1248,2193
1644,2023,1817,2533,1474,2474,1112,883,1489,2410
1565,1687,1849,2430,1449,1420,1093,909,1284,2229
1679,1998,1808,2288,1548,1639,1158,1253,1326,2304
1647,1780,1973,2126,1635,1679,1109,1101,1277,2297
1702,2066,1779,2265,1543,1958,1052,1331,1562,1959
1768,1830,1800,2622,1314,1837,985,1098,1087,2004
1805,1855,1842,2045,1493,1473,869,1532,1451,2315
1603,1716,1526,2259,1368,1879,1004,932,1377,2013
1586,2223,1738,2190,1573,1770,968,690,1740,2073
1554,1929,1723,2319,1341,2486,955,558,1465,2307
2214,1730,1858,1877,1840,2129,1167,532,1172,2332
1589,1963,1790,2286,1491,1731,1107,505,1452,2264
1681,1812,1727,2015,1353,2133,1006,985,1324,2220
1765,2027,1690,2182,1517,1892,1196,2120,1550,2147
1731,0,1807,2042,0,1589,1063,534,0,2337
1657,0,1890,2014,0,2050,913,1505,0,2303
1850,2087,1806,2223,1637,1623,976,815,1449,2077
1715,2353,1679,2466,1686,1694,1177,1746,1735,2035
1787,1987,1800,2368,1576,1463,1009,938,1455,2087
1551,1893,1817,2898,1332,1848,1105,1410,1548,2214
1702,0,1748,2940,0,1675,939,1377,0,2242
1767,1923,1796,2396,1456,1489,1057,1264,1337,2252
1449,0,1769,2169,0,1809,1229,1995,0,2285
1688,0,1729,2554,0,1576,1128,1232,0,2160
1599,1817,1901,2059,1406,1609,972,1261,1408,2247
1674,0,1820,1917,0,1764,1118,973,0,2319
1685,0,2043,2381,0,1618,1252,856,0,2180
1923,2388,1679,1957,1726,2076,1209,798,1855,2092
1810,2095,1708,2763,1416,1566,1240,1011,1430,2131
1622,1837,1901,2477,1577,1746,1027,1940,1129,2346
1812,2291,1718,2076,1709,1889,1019,1263,1874,2143
1826,2140,1601,2179,1621,2083,1144,1615,1553,1917
1650,1872,1757,2278,1623,1660,942,1112,1421,2192
1792,0,1626,2025,0,1764,990,971,0,2056
1875,0,1743,2113,0,2240,1064,2478,0,2124
1528,1874,1921,2014,1642,1968,961,1354,1364,2266
1874,1919,1889,2069,1263,2048,1199,1077,1384,2288
1963,0,1914,2155,0,1753,1157,2426,0,2314
1849,1969,2005,2080,1343,2160,953,1157,1392,2086
1649,1943,2053,2752,1561,2039,1100,1949,1518,2226
1764,2082,1832,2043,1599,1302,1254,790,1864,2274
1944,1873,1733,2256,1608,0,1095,724,1445,0
1549,1894,1806,3078,1250,2118,1180,1180,1298,2171
1706,1946,1586,2134,1675,1911,998,1921,1365,1902
1820,1782,1836,2242,1436,1472,1078,1407,1317,2229
